codigo,nombre,ingredientes,categoria,cats,etiqueta,beneficios,avisos,contenido,precioPublico,precioPúblico_K,precioMayoreo,precioMayoreo_K,precioDistribuidor,precioDistribuidor_K,Imagen,cantidadArticulos
63,Sándalo,,Jabón sólido,,,,,100 gr,20,,,,,,63.webp,1
64,Tepezcohuite,,Jabón sólido,,,,,100 gr,20,,,,,,64.webp,1
65,Toronja y romero,,Jabón sólido,,,,,100 gr,20,,,,,,65.webp,1
66,Vainilla,,Jabón sólido,,,,,100 gr,20,,,,,,66.webp,1
67,Vino tinto y rosas,,Jabón sólido,,,,,100 gr,20,,,,,,67.webp,1
68,Vitamina E,,Jabón sólido,,,,,100 gr,20,,,,,,68.webp,1
137,Almendras,,Jabón líquido,,,,,1000 ml,45,,,,,,137.webp,1
138,Aloe vera,,Jabón líquido,,,,,1000 ml,45,,,,,,138.webp,1
139,Árnica,,Jabón líquido,,,,,1000 ml,45,,,,,,139.webp,1
140,Avena,,Jabón líquido,,,,,1000 ml,45,,,,,,140.webp,1
141,Avena Miel,,Jabón líquido,,,,,1000 ml,45,,,,,,141.webp,1
142,Canela Miel,,Jabón líquido,,,,,1000 ml,45,,,,,,142.webp,1
143,Chocolate,,Jabón líquido,,,,,1000 ml,45,,,,,,143.webp,1
144,Coco,,Jabón líquido,,,,,1000 ml,45,,,,,,144.webp,1
145,Coco con miel,,Jabón líquido,,,,,1000 ml,45,,,,,,145.webp,1
146,Frutos rojos,,Jabón líquido,,,,,1000 ml,45,,,,,,146.webp,1
147,Limón,,Jabón líquido,,,,,1000 ml,45,,,,,,147.webp,1
148,Manzanilla,,Jabón líquido,,,,,1000 ml,45,,,,,,148.webp,1
149,Miel,,Jabón líquido,,,,,1000 ml,45,,,,,,149.webp,1
152,Romero,,Jabón líquido,,,,,1000 ml,45,,,,,,152.webp,1
151,Rosa de Castilla,,Jabón líquido,,,,,1000 ml,45,,,,,,151.webp,1
153,Té verde y Menta,,Jabón líquido,,,,,1000 ml,45,,,,,,153.webp,1
154,Vainilla,,Jabón líquido,,,,,1000 ml,45,,,,,,154.webp,1
155,Vitamina E,,Jabón líquido,,,,,1000 ml,45,,,,,,155.webp,1
105,Abre caminos,,Jabón corporal,,,,,1000 ml,45,,,,,,105.webp,1
106,Almendras,,Jabón corporal,,,,,1000 ml,45,,,,,,106.webp,1
107,Aloe Vera,,Jabón corporal,,,,,1000 ml,45,,,,,,107.webp,1
108,Arandanos,,Jabón corporal,,,,,1000 ml,45,,,,,,108.webp,1
109,Árnica,,Jabón corporal,,,,,1000 ml,45,,,,,,109.webp,1
110,Arroz  ,,Jabón corporal,,,,,1000 ml,45,,,,,,110.webp,1
111,Arroz  Miel,,Jabón corporal,,,,,1000 ml,45,,,,,,111.webp,1
113,Avena miel,,Jabón corporal,,,,,1000 ml,45,,,,,,113.webp,1
112,Avena para bebé,,Jabón corporal,,,,,1000 ml,45,,,,,,112.webp,1
114,Café,,Jabón corporal,,,,,1000 ml,45,,,,,,114.webp,1
116,Chocolate,,Jabón corporal,,,,,1000 ml,45,,,,,,116.webp,1
115,Cítricos,,Jabón corporal,,,,,1000 ml,45,,,,,,115.webp,1
117,Coco,,Jabón corporal,,,,,1000 ml,45,,,,,,117.webp,1
118,Coco con miel,,Jabón corporal,,,,,1000 ml,45,,,,,,118.webp,1
26,Eucalipto con Bugambilia y Menta,,Jabón corporal,,,,,1000 ml,20,,,,,,26.webp,1
119,Frutos rojos,,Jabón corporal,,,,,1000 ml,45,,,,,,119.webp,1
120,"gengibre con limón, cúrcuma y canela",,Jabón corporal,,,,,1000 ml,45,,,,,,120.webp,1
121,"gengibre con naranja, cúrcuma y canela",,Jabón corporal,,,,,1000 gr,45,,,,,,121.webp,1
122,Lavanda,,Jabón corporal,,,,,1000 ml,45,,,,,,122.webp,1
123,Limón,,Jabón corporal,,,,,1000 ml,45,,,,,,123.webp,1
124,Manzanilla,,Jabón corporal,,,,,1000 ml,45,,,,,,124.webp,1
125,Menta,,Jabón corporal,,,,,1000 ml,45,,,,,,125.webp,1
126,"Menta, bugambilia y Eucalipto",,Jabón corporal,,,,,1000 ml,45,,,,,,126.webp,1
127,Miel,,Jabón corporal,,,,,1000 ml,45,,,,,,127.webp,1
128,Miel Canela,,Jabón corporal,,,,,1000 ml,45,,,,,,128.webp,1
129,Neem con caléndula,,Jabón corporal,,,,,1000 ml,45,,,,,,129.webp,1
131,Romero,,Jabón corporal,,,,,1000 ml,45,,,,,,131.webp,1
130,Rosa de Castilla,,Jabón corporal,,,,,1000 ml,45,,,,,,130.webp,1
132,Té verde y Menta,,Jabón corporal,,,,,1000 ml,45,,,,,,132.webp,1
133,Toronja y romero,,Jabón corporal,,,,,1000 ml,45,,,,,,133.webp,1
134,Vainilla,,Jabón corporal,,,,,1000 ml,45,,,,,,134.webp,1
135,Vino tinto y rosas,,Jabón corporal,,,,,1000 ml,45,,,,,,135.webp,1
136,Vitamina E,,Jabón corporal,,,,,1000 ml,45,,,,,,136.webp,1
69,Abre Caminos,,Shampoo,,,,,1000 ml,80,,,,,,69.webp,1
70,Almendras,,Shampoo,,,,,1000 ml,80,,,,,,70.webp,1
71,Aloe Vera,,Shampoo,,,,,1000 ml,80,,,,,,71.webp,1
72,Árnica,,Shampoo,,,,,1000 ml,80,,,,,,72.webp,1
73,Avena,,Shampoo,,,,,1000 ml,80,,,,,,73.webp,1
74,Avena con manzanilla,,Shampoo,,,,,1000 ml,80,,,,,,74.webp,1
75,Bergamota,,Shampoo,,,,,1000 ml,100,,,,,,75.webp,1
76,Bergamota con carbón activado y ruda,,Shampoo,,,,,1000 ml,100,,,,,,76.webp,1
77,Bergamota con manzanilla,,Shampoo,,,,,1000 ml,100,,,,,,77.webp,1
78,Bergamota con romero,,Shampoo,,,,,1000 ml,100,,,,,,78.webp,1
79,Bergamota con romero y árnica,,Shampoo,,,,,1000 ml,100,,,,,,79.webp,1
80,Carbón activado,,Shampoo,,,,,1000 ml,80,,,,,,80.webp,1
81,"Carbón activado con árnica, romero y caléndula",,Shampoo,,,,,1000 ml,80,,,,,,81.webp,1
82,CBD,,Shampoo,,,,,1000 ml,150,,,,,,82.webp,1
83,Chocolate,,Shampoo,,,,,1000 ml,80,,,,,,83.webp,1
84,Cítricos,,Shampoo,,,,,1000 ml,80,,,,,,84.webp,1
85,Coco,,Shampoo,,,,,1000 ml,80,,,,,,85.webp,1
86,Coco con miel,,Shampoo,,,,,1000 ml,80,,,,,,86.webp,1
87,"Elixir Anticaída (Cebolla, Gengibre, Sábila y Romero)",,Shampoo,,,,,1000 ml,80,,,,,,87.webp,1
87,Elixir Antiedad (Nogal y Orégano),,Shampoo,,,,,1000 ml,80,,,,,,87.webp,1
89,Frutos rojos,,Shampoo,,,,,1000 ml,80,,,,,,89.webp,1
90,"gengibre con limón, cúrcuma y canela",,Shampoo,,,,,1000 ml,80,,,,,,90.webp,1
91,"gengibre con naranja, cúrcuma y canela",,Shampoo,,,,,1000 ml,80,,,,,,91.webp,1
92,Lavanda,,Shampoo,,,,,1000 ml,80,,,,,,92.webp,1
93,Limón,,Shampoo,,,,,1000 ml,80,,,,,,93.webp,1
94,Manzanilla,,Shampoo,,,,,1000 ml,80,,,,,,94.webp,1
95,Manzanilla Miel,,Shampoo,,,,,1000 ml,80,,,,,,95.webp,1
96,Miel,,Shampoo,,,,,1000 ml,80,,,,,,96.webp,1
97,Miel Canela,,Shampoo,,,,,1000 ml,80,,,,,,97.webp,1
98,Miel con Romero,,Shampoo,,,,,1000 ml,80,,,,,,98.webp,1
99,Romero,,Shampoo,,,,,1000 ml,80,,,,,,99.webp,1
101,Romero Canela,,Shampoo,,,,,1000 ml,80,,,,,,101.webp,1
102,Romero Keratina,,Shampoo,,,,,1000 ml,80,,,,,,102.webp,1
100,Romero y Árnica,,Shampoo,,,,,1000 ml,10,,,,,,100.webp,1
103,Té verde y Menta,,Shampoo,,,,,1000 ml,80,,,,,,103.webp,1
104,Vainilla,,Shampoo,,,,,1000 ml,80,,,,,,104.webp,1
182,Corazón blanco,,Amor y amistad,,,,,20  gr,12,,,,,,182.webp,1
183,Corazón diamante,,Amor y amistad,,,,,20  gr,8,,,,,,183.webp,1
186,Corazón frases,,Amor y amistad,,,,,20  gr,22,,,,,,186.webp,1
100,Corazón Frutos Rojos,,Amor y amistad,,,,,20  gr,10,,,,,,100.webp,1
222,Osito de coco,,Amor y amistad,,,,,20  gr,15,,,,,,222.webp,1
234,Rosa con tallo,,Amor y amistad,,,,,20  gr,35,,,,,,234.webp,1
158,Barrel Coco,,Halloween,,,,,100 gr,20,,,,,,158.webp,1
164,Brujita Flor de Azhar,,Halloween,,,,,70 gr,15,,,,,,164.webp,1
166,Calabacita 1 Cítricos,,Halloween,,,,,70 gr,15,,,,,,166.webp,1
169,Calabacita 2 Cítricos,,Halloween,,,,,70 gr,15,,,,,,169.webp,1
167,Calabaza 3 Cítricos,,Halloween,,,,,100 gr,20,,,,,,167.webp,1
168,Calabaza 4 Cítricos,,Halloween,,,,,100 gr,20,,,,,,168.webp,1
171,Calaverita 1 Flor Azhar,,Halloween,,,,,20 gr,5,,,,,,171.webp,1
172,Calaverita 2 Coco,,Halloween,,,,,50 gr,10,,,,,,172.webp,1
172,Calaverita 2 Flor de Azhar,,Halloween,,,,,50 gr,10,,,,,,172.webp,1
188,Craneo Flor de Azhar,,Halloween,,,,,100 gr,20,,,,,,188.webp,1
200,Fantasma Coco,,Halloween,,,,,70 gr,15,,,,,,200.webp,1
203,Gato Flor de Azhar,,Halloween,,,,,100 gr,20,,,,,,203.webp,1
206,Jack Skellington Coco,,Halloween,,,,,100 gr,20,,,,,,206.webp,1
210,Lock Frutos rojos,,Halloween,,,,,100 gr,20,,,,,,210.webp,1
216,Momia Coco,,Halloween,,,,,100 gr,20,,,,,,216.webp,1
220,Murciélago Flor de Azhar,,Halloween,,,,,100 gr,20,,,,,,220.webp,1
223,Oogie Boogie Bergamota,,Halloween,,,,,100 gr,20,,,,,,223.webp,1
235,Sally Menta,,Halloween,,,,,100 gr,20,,,,,,235.webp,1
237,Shock Manzana Canela,,Halloween,,,,,100 gr,20,,,,,,237.webp,1
240,Sombrero Lavanda,,Halloween,,,,,100 gr,20,,,,,,240.webp,1
207,Lápidas,,Halloween,,,,,100 gr,22,,,,,,207.webp,1
